StreetAddress,City,ZipCode,CountryFull
"Gruenauer Strasse 31",Drage,25582,Germany
"Heiligengeistbrücke 31",Dinkelsbühl,91543,Germany
"Koepenicker Str. 63",Rettershain,56357,Germany
"Frankfurter Allee 50","Karlsruhe Palmbach",76228,Germany
"Waldowstr. 11",Kreßberg,74594,Germany
"Heinrich Heine Platz 35",Gotha,99853,Germany
"Leopoldstraße 66","Berlin Hermsdorf",13465,Germany
"Straße der Pariser Kommune 58",Bonn,53119,Germany
"Buelowstrasse 74",Oberelz,56767,Germany
"Hardenbergstraße 60",Rammelsbach,66887,Germany
"Joachimstaler Str. 52",Kirchberg,94259,Germany
"Luckenwalder Strasse 44",Utarp,26556,Germany
"Rudower Chaussee 95",Irchenrieth,92699,Germany
"Kieler Strasse 38",Waldkraiburg,84478,Germany
"Michaelkirchstr. 69","Bad Oeynhausen Eidinghausen",32549,Germany
"Prenzlauer Allee 26",Leipzig,04279,Germany
"Jahnstrasse 61",Amerang,83123,Germany
"Pohlstrasse 47",Twieflingen,38388,Germany
"Prenzlauer Allee 74",Leipzig,04187,Germany
"Michaelkirchstr. 5","Minden Innenstadt",32429,Germany
"Inge Beisheim Platz 5",Ellerhoop,25373,Germany
"Lützowplatz 80",Niederöfflingen,54533,Germany
"Knesebeckstrasse 18",Kaltenborn,53520,Germany
"Pasewalker Straße 34","Pforzheim Brötzingen",75175,Germany
"Gruenauer Strasse 41",Geesthacht,21497,Germany
"Buelowstrasse 50",Ailertchen,56459,Germany
"Rudower Strasse 97",Bleialf,54608,Germany
"Rathausstrasse 28",Fürth,90727,Germany
"Luetzowplatz 35",Ellscheid,54552,Germany
"Ruschestrasse 55",Stendal,39562,Germany
"Schillerstrasse 18",Schondorf,86938,Germany
"Ollenhauer Str. 26","Stuttgart Bad Cannstatt",70191,Germany
"Gotzkowskystrasse 48",Lütz,56290,Germany
"Mohrenstrasse 45",Mehrstetten,72537,Germany
"Ellmenreichstrasse 98",Weismain,96260,Germany
"Guentzelstrasse 78",Sinntal,36391,Germany
"Reeperbahn 8","Bad Doberan",18203,Germany
"Gotzkowskystrasse 75",Lutzerath,56826,Germany
"Kieler Strasse 7",Erharting,84513,Germany
"Luebeckertordamm 3",Münchsteinach,91481,Germany
"Koepenicker Str. 81",Börfink,54422,Germany
"Genterstrasse 6",Kiel,24015,Germany
"Fischerinsel 49",Bergheim,50129,Germany
"Joachimstaler Str. 29",Gemünden,97737,Germany
"Güntzelstrasse 79",Piesport,54498,Germany
"Hochstrasse 81",Grundhof,24977,Germany
"Fugger Strasse 24","Koblenz Wallersheim",56070,Germany
"Holstenwall 20",Mansfeld,06338,Germany
"Boxhagener Str. 26","Hamburg Eidelstedt",22525,Germany
"Oldesloer Strasse 53",Suhl,98504,Germany
"Meininger Strasse 22",Blieskastel,66440,Germany
"Jenaer Strasse 75",Krailling,82152,Germany
"Mühlenstrasse 29",Würzburg,97080,Germany
"Amsinckstrasse 54",Großengottern,99990,Germany
"Rohrdamm 98",Schneverdingen,29640,Germany
"Park Str. 86","Düsseldorf Urdenbach",40595,Germany
"Mohrenstrasse 85",Aichhalden,78733,Germany
"Luetzowplatz 11","Ammeldingen an der Our",54675,Germany
"Fischerinsel 83",Krefeld,47809,Germany
"Alsterkrugchaussee 23",Nördlingen,86711,Germany
"Schaarsteinweg 47",Wackersdorf,92440,Germany
"Fasanenstrasse 60","Hamburg Moorfleet",22113,Germany
"Storkower Strasse 92","Neuwied Irlich",56567,Germany
"Gotthardstrasse 11",Chemnitz,09001,Germany
"Unter den Linden 36",Schwerin,19011,Germany
"Oldesloer Strasse 42",Stützerbach,98714,Germany
"Chausseestr. 28",Quedlinburg,06474,Germany
"Kieler Strasse 16",Waldkirchen,94061,Germany
"Mollstrasse 25",Darmstadt,64289,Germany
"Pasewalker Straße 70",Baden-Baden,76532,Germany
"Flotowstr. 53",Greppin,06803,Germany
"An der Schillingbrucke 60",Böhmenkirch,89558,Germany
"Paul-Nevermann-Platz 71",Werneck,97440,Germany
"Brandenburgische Str 69",Hausbay,56291,Germany
"Mellingburgredder 61",Pleinfeld,91785,Germany
"Augsburger Strasse 26",Horperath,56766,Germany
"Waßmannsdorfer Chaussee 79","Hamburg Alsterdorf",20251,Germany
"Brandenburgische Straße 61","Berlin Neukölln",12047,Germany
"Wallstrasse 98",Schalkenbach,53426,Germany
"Eichendorffstr. 74",Wolfegg,88364,Germany
"Unter den Linden 25",Brüsewitz,19071,Germany
"Kurfürstenstraße 35",Möglingen,71696,Germany
"Genslerstraße 64","Berlin Tegel",13403,Germany
"Brandenburgische Strasse 31",Harthausen,67376,Germany
"Hoheluftchaussee 53",Dommitzsch,04878,Germany
"Hans-Grade-Allee 25","Bad Segeberg",23782,Germany
"Los-Angeles-Platz 69",Braunschweig,38102,Germany
"Budapester Straße 28",Kördorf,56370,Germany
"Hallesches Ufer 34",Grafenau,94478,Germany
"Ansbacher Strasse 44",Hochscheid,54472,Germany
"Leopoldstraße 70","Berlin Hellersdorf",12629,Germany
"Ansbacher Strasse 25",Walhausen,56865,Germany
"Bleibtreustrasse 92","Paderborn Marienloh",33100,Germany
"Kurfuerstendamm 65",München,80006,Germany
"Mohrenstrasse 44",Wehingen,78564,Germany
"Nuernbergerstrasse 93",Ratekau,23624,Germany
"Hermannstrasse 37","Heidelberg Kirchheim",69124,Germany
"Alt-Moabit 67",Jütebog,14901,Germany
"Rhinstrasse 23",München,80741,Germany
"Kantstraße 94","Bad Salzungen",36428,Germany
"Augsburger Strasse 90",Neunkirchen,91233,Germany
"Fischerinsel 97","Mönchengladbach Bettrath",41066,Germany
"Michaelkirchstr. 78",Niedernwöhren,31712,Germany
"Ruschestrasse 15",Hecklingen,39444,Germany
"Rudower Strasse 91",Hersdorf,54597,Germany
"Luetzowplatz 33",Laufeld,54533,Germany
"Hedemannstasse 63",Oberteuringen,88094,Germany
"Fontenay 36",Marktleuthen,95164,Germany
"Prager Str 58",Weßling,82231,Germany
"Albrechtstrasse 44",Ingolstadt,85051,Germany
"Rohrdamm 16","Bad Salzuflen Wüsten",32108,Germany
"Hermannstrasse 94",Westhofen,67593,Germany
"Luebecker Strasse 79",Viereth-Trunstadt,96191,Germany
"Marseiller Strasse 58",Krün,82494,Germany
"Mellingburgredder 59",Erlangen,91051,Germany
"Koepenicker Str. 81",Hettenrodt,55758,Germany
"Hochstrasse 7",Glücksburg,24960,Germany
"Oldesloer Strasse 38",Wurzbach,07341,Germany
"Lange Strasse 84",Neubiberg,85572,Germany
"Knesebeckstrasse 83",Mehren,54552,Germany
"Knesebeckstraße 19",Senden,89250,Germany
"Friedrichstrasse 33",Herten,45701,Germany
"Hardenbergstraße 57",Etschberg,66871,Germany
"Schoenebergerstrasse 56",Johanngeorgenstadt,08345,Germany
"Waldowstr. 66",Gerabronn,74582,Germany
"Park Str. 40","Düsseldorf Wersten",40225,Germany
"Lange Strasse 71",München,81737,Germany
"Eichendorffstr. 96",Seewald,72297,Germany
"An der Alster 41","Bad Wilsnack",19336,Germany
"Motzstr. 82",Dorsheim,55452,Germany
"Lange Strasse 57",Oberschleißheim,85759,Germany
"Park Str. 11","Köln Innenstadt",50667,Germany
"Michaelkirchstr. 65","Minden Barkhausen",32429,Germany
"Marseiller Strasse 44",Großweil,82439,Germany
"Marseiller Strasse 76",Reimlingen,86756,Germany
"Hoheluftchaussee 97",Hartha,04744,Germany
"Albrechtstrasse 55",Ingolstadt,85051,Germany
"Bleibtreustrasse 74",Bünde,32257,Germany
"Ziegelstr. 93",Thurmansbang,94169,Germany
"Rohrdamm 51",Lage,32791,Germany
"Nuernbergerstrasse 92",Wilhelmshaven,26389,Germany
"Kurfürstendamm 36",Chemnitz,09131,Germany
"Lietzenburger Straße 77",Hoogstede,49846,Germany
"Neue Roßstr. 40","Saarbrücken Brebach-Fechingen",66130,Germany
"Gotzkowskystrasse 93",Kettenhausen,57612,Germany
"Prager Str 9",Pöcking,82341,Germany
"Kirchenallee 41",Patersdorf,94265,Germany
"An der Alster 89",Ahlum,38489,Germany
"Kastanienallee 87",Ottenbüttel,25591,Germany
"Frankfurter Allee 75",Neu-Ulm,89215,Germany
"Gubener Str. 78",Rohrdorf,83099,Germany
"Ufnau Strasse 4",Fellheim,87748,Germany
"Bayreuther Strasse 5","Kaiserslautern Morlautern",67659,Germany
"Alt-Moabit 41",Brandenburg,14745,Germany
"Hollander Strasse 20",Linden,35440,Germany
"Koenigstrasse 56",Belvedere,99425,Germany
"Amsinckstrasse 86",Neupetershain,03101,Germany
"Billwerder Neuer Deich 52",Randersacker,97236,Germany
"Flotowstr. 78","Lutherstadt Eisleben",06290,Germany
"Borstelmannsweg 20",Schnaittenbach,92253,Germany
"Bissingzeile 54",Wingst,21789,Germany
"Amsinckstrasse 44",Großengottern,99990,Germany
"Neuer Jungfernstieg 29",Dingolfing,84123,Germany
"Fontenay 25",Wunsiedel,95622,Germany
"Kurfürstenstraße 90","Waiblingen Beinstein",71334,Germany
"Ziegelstr. 26",Philippsreut,94158,Germany
"Luebecker Strasse 15",Itzgrund,96274,Germany
"Marseiller Strasse 68",Wildsteig,82409,Germany
"Ansbacher Strasse 3",Bärenbach,55758,Germany
"Hollander Strasse 93",Vorderweidenthal,76889,Germany
"Mohrenstrasse 90",Mahlstetten,78601,Germany
"Leipziger Strasse 53","Bielefeld Theesen",33739,Germany
"Schaarsteinweg 83",Falkenstein,93167,Germany
"Luebeckertordamm 22",Röttenbach,91187,Germany
"Fugger Strasse 9",Vallendar,56179,Germany
"Rudolstaedter Strasse 78","Groß Berßen",49777,Germany
"Waldowstr. 99",Forchtenberg,74670,Germany
"Motzstr. 63",Altenbamberg,55585,Germany
"Rudower Strasse 1",Seiwerath,54597,Germany
"Esplanade 70",Lülsfeld,97511,Germany
"Ruschestrasse 12",Ditfurt,06484,Germany
"Frankfurter Allee 37","Karlsruhe Mühlburg",76187,Germany
"An der Alster 62",Eldena,19292,Germany
"Messedamm 29",Halle,06018,Germany
"Wallstrasse 55",Kasbach-Ohlenberg,53547,Germany
"Luebeckertordamm 22",Röttenbach,91339,Germany
"Mohrenstrasse 98",Untermarchtal,89617,Germany
"Luebecker Strasse 41",Roding,93426,Germany
"Prager Str 14",Gauting,82119,Germany
"Jahnstrasse 11",Gstadt,83257,Germany
"Kurfürstenstraße 10",Rechberghausen,73098,Germany
"Jenaer Strasse 65","Oberhausen Buschhausen",46149,Germany
"Augsburger Straße 7",Waldbröl,51545,Germany
"Lange Strasse 88",Neubiberg,85572,Germany
"Lietzensee-Ufer 89",Lübben,15901,Germany
"Marseiller Strasse 77",Garmisch-Partenkirchen,82452,Germany
"Landsberger Allee 57",München,80058,Germany
"Alt Reinickendorf 91",Meitingen,86401,Germany
"Schönwalder Allee 4",Bannesdorf,23769,Germany
"Landsberger Allee 43",München,80674,Germany
"Ansbacher Strasse 84",Hahn,56850,Germany
"Gotthardstrasse 75",Erfurt,99022,Germany
"Hallesches Ufer 73",Unterensingen,72669,Germany
"Kirchenallee 56",Schöllnach,94508,Germany
"Koepenicker Str. 55",Lollschied,56357,Germany
"Park Str. 39","Düsseldorf Urdenbach",40597,Germany
"Neue Roßstr. 78","Bad Kreuznach Bad Kreuznach",55543,Germany
"Landsberger Allee 84",München,80339,Germany
"Los-Angeles-Platz 68",Arnsdorf,01477,Germany
"Leopoldstraße 82",Siegen,57080,Germany
"Gotzkowskystrasse 96",Urschmitt,56825,Germany
"Messedamm 87",Dresden,01003,Germany
"Brandenburgische Strasse 12",Ramsen,67305,Germany
"Eschenweg 40",Neundorf,39418,Germany
"Paderborner Strasse 25",Dinkelscherben,86424,Germany
"Hermannstrasse 72",Mettenheim,67582,Germany
"Paul-Nevermann-Platz 57",Wildflecken,97772,Germany
"Konstanzer Strasse 42","Mühlheim am Main",63165,Germany
"Rankestraße 53",Manching,85077,Germany
"Michaelkirchstr. 24",Espenau,34314,Germany
"Friedrichstrasse 9","Oberhausen Tackenberg",46119,Germany
"Bayreuther Strasse 38","Kaiserslautern Hohenecken",67661,Germany
"Michaelkirchstr. 9",Stolzenau,31592,Germany
"Los-Angeles-Platz 22",Norderstedt,22804,Germany
"Ollenhauer Str. 61","Stuttgart Untertürkheim",70327,Germany
"Schönhauser Allee 59","Villingen-Schwenningen Rietheim",78052,Germany
"Charlottenstrasse 97",Dresden,01257,Germany
"Motzstr. 5",Sommerloch,55595,Germany
"Eichendorffstr. 57",Tettnang,88069,Germany
"Wallstrasse 83",Ehlscheid,56581,Germany
"Budapester Straße 83",Schöffengrund,35641,Germany
"Landhausstraße 23",Schwedt,16294,Germany
"Rohrdamm 31",Verl,33415,Germany
"Kieler Strasse 74",Töging,84509,Germany
"Flotowstr. 24",Altenburg,04582,Germany
"Brandenburgische Str 71",Löllbach,67744,Germany
"Genterstrasse 27","Bremen Woltmershausen",28197,Germany
"Hardenbergstraße 70",Etschberg,66871,Germany
"Chausseestr. 14",Altentreptow,17081,Germany
"Mellingburgredder 53",Aurachtal,91086,Germany
"Eschenweg 85",Krölpa,07386,Germany
"Holstenwall 91","Bad Frankenhausen",06567,Germany
"Brandenburgische Straße 58","Berlin Pankow",13189,Germany
"Joachimstaler Str. 22",Waldböckelheim,55596,Germany
"Hallesches Ufer 98",Merzig,66663,Germany
"Landhausstraße 11",Schönwalde,14621,Germany
"Hochstrasse 30",Wittdün,25942,Germany
"Jahnstrasse 46",Ebersberg,07922,Germany
"Rosenstrasse 52",München,81506,Germany
"Scharnweberstrasse 4",Heiligkreuzsteinach,69253,Germany
"Rathausstrasse 51",Nürnberg,90104,Germany
"Meinekestraße 33","Lutter am Barenberge",38729,Germany
"Straße der Pariser Kommune 86","Köln Nippes",50733,Germany
"Straße der Pariser Kommune 58",Bonn,53121,Germany
"Schaarsteinweg 10",Straßkirchen,94340,Germany
"Rankestraße 55",Berg,82330,Germany
"Sömmeringstr. 90",Gondelsheim,75053,Germany
"Alter Wall 47",Bergtheim,97241,Germany
"Marseiller Strasse 13",Garmisch-Partenkirchen,82451,Germany
"Luebecker Strasse 83",Laaber,93162,Germany
"An Der Urania 6",Frestedt,25727,Germany
"Schaarsteinweg 21",Schwandorf,92403,Germany
"Landhausstraße 52",Eberswalde,16205,Germany
"Frankfurter Allee 3",Neu-Ulm,89210,Germany
"Neue Roßstr. 30","Trier Pfalzel",54293,Germany
"Fischerinsel 56","Mönchengladbach Ohler",41069,Germany
"Kantstraße 26","Bad Salzungen",36428,Germany
"Rudolstaedter Strasse 13",Friedrichsdorf,61381,Germany
"Kurfürstendamm 5",Greifswald,17466,Germany
"Rudower Strasse 62","Auw bei Prüm",54597,Germany
"Bissingzeile 58",Krummendeich,21732,Germany
"Esplanade 98",Straubing,94305,Germany
"An Der Urania 69",Neufeld,25724,Germany
"Alsterkrugchaussee 45",Buchenbach,79256,Germany
"Mellingburgredder 4",Erlangen,91003,Germany
"Hedemannstasse 10",Moosburg,88422,Germany
"Joachimstaler Str. 4",Biebern,55471,Germany
"Ellmenreichstrasse 38",Presseck,95355,Germany
"Holstenwall 65",Albersroda,06268,Germany
"Storkower Strasse 79",Ransbach-Baumbach,56235,Germany
"Holstenwall 74",Gerbstedt,06344,Germany
"Konstanzer Strasse 42",Waldems,65529,Germany
"Leipziger Straße 25",Willebadessen,34439,Germany
"Bleibtreustrasse 45",Nieheim,33039,Germany
"Jenaer Strasse 23",Essen,45357,Germany
"Bleibtreustraße 55",Haslach,77716,Germany
"Unter den Linden 77",Magdeburg,39106,Germany
"Budapester Straße 8",Dautphetal,35232,Germany
"Waldowstr. 82",Bühlerzell,74426,Germany
"Fontenay 96",Tröstau,95709,Germany
"Knesebeckstraße 22",Stolberg,06545,Germany
"Alt Reinickendorf 75",Ziemetshausen,86473,Germany
"Stuttgarter Platz 38",Gierschnach,56294,Germany
"Lietzenburger Strasse 91","Remscheid Süd",42859,Germany
"Gubener Str. 22",Rosenheim,83013,Germany
"Waldowstr. 42",Oberrot,74420,Germany
"Friedrichstrasse 47","Düsseldorf Friedrichstadt",40215,Germany
"Alt Reinickendorf 19",Oy-Mittelberg,87464,Germany
"Hermannstrasse 19",Ellerstadt,67158,Germany
"Paul-Nevermann-Platz 98","Bad Königshofen",97628,Germany
"Mollstrasse 33",Darmstadt,64293,Germany
"Brandenburgische Straße 59","Berlin Lichterfelde",12279,Germany
"Motzstr. 39",Wendelsheim,55234,Germany
"Bayreuther Strasse 65","Ulm Jungingen",89081,Germany
"Budapester Strasse 18",Arpsdorf,24634,Germany
"Brandenburgische Straße 42","Berlin Kaulsdorf",12621,Germany
"Lietzenburger Strasse 68",Alfter,53347,Germany
"Marseiller Strasse 30",Garmisch-Partenkirchen,82451,Germany
"Schmarjestrasse 79",Zahna,06892,Germany
"Grolmanstraße 86","Bremen Ellenerbrok-Schevemoor",28325,Germany
"Ellmenreichstrasse 58",Creußen,95470,Germany
"Mohrenstrasse 79",Freudenstadt,72250,Germany
"Motzstr. 8",Sauerthal,65391,Germany
"Borstelmannsweg 54",Coburg,96403,Germany
"Jahnstrasse 28",Eggstätt,83125,Germany
"Storkower Strasse 38",Vielbach,56244,Germany
"Invalidenstrasse 34",Lindenberg,88161,Germany
"Langenhorner Chaussee 73",Piding,83451,Germany
"Mühlenstrasse 54",Würzburg,97074,Germany
"Am Borsigturm 49","Bottrop Welheim",46238,Germany
"Anhalter Strasse 71",Weitersweiler,67808,Germany
"Kantstraße 9",Meiningen,98606,Germany
"Gotthardstrasse 29",Chemnitz,09004,Germany
"Neue Roßstr. 83","Saarbrücken Malstatt",66113,Germany
"Holstenwall 25",Braunsbedra,06239,Germany
"Landhausstraße 67",Landsberg,06186,Germany
"Bissingzeile 47",Vollersode,27729,Germany
"Brandenburgische Str. 96",Kirchentellinsfurt,72138,Germany
"Kantstrasse 27",Nürnberg,90231,Germany
"Inge Beisheim Platz 48",Tornesch,25438,Germany
"Mohrenstrasse 30","Albstadt Burgfelden",72459,Germany
"Billwerder Neuer Deich 97",Wallenfels,96346,Germany
"Hedemannstasse 38",Maulburg,79689,Germany
"Chausseestr. 65",Neinstedt,06502,Germany
"Bleibtreustraße 27",Hasel,79686,Germany
"Paderborner Strasse 32",Türkheim,86839,Germany
"Hollander Strasse 23",Langenscheid,65558,Germany
"Lietzensee-Ufer 13",Schipkau,01991,Germany
"Inge Beisheim Platz 10",Hittbergen,21522,Germany
"Boxhagener Str. 54","Hamburg Groß Flottbek",22607,Germany
"Jahnstrasse 90",Baiern,85625,Germany
"Unter den Linden 33",Schwerin,19028,Germany
"Reeperbahn 49",Burgstädtel,08297,Germany
"Leipziger Strasse 17","Bielefeld Schröttinghausen",33739,Germany
"Flotowstr. 27",Bernburg,06392,Germany
"Eschenweg 71",Jena,07743,Germany
"Leipziger Strasse 7",Wiesbaden,65193,Germany
"Grosse Praesidenten Str. 85",Roigheim,74255,Germany
"Unter den Linden 23",Magdeburg,39120,Germany
"Sonnenallee 72","Freiburg Stadt",79117,Germany
"Mollstrasse 42",Essenheim,55270,Germany
"Heiligengeistbrücke 9",Dinkelsbühl,91550,Germany
"Pohlstrasse 12",Wolfenbüttel,38300,Germany
"Augsburger Strasse 13",Borler,53539,Germany
"Leipziger Strasse 10","Bielefeld Ubbedissen",33699,Germany
"Karl-Liebknecht-Strasse 39",Twistringen,27239,Germany
"Amsinckstrasse 58",Lengenfeld,08482,Germany
"Borstelmannsweg 16",Hirschau,92242,Germany
"Ufnau Strasse 46",Kellmünz,89293,Germany
"Koepenicker Str. 60",Niederhosenbach,55758,Germany
"Amsinckstrasse 54",Lichtenberg,91807,Germany
"Messedamm 59",Halle,06052,Germany
"Pappelallee 76",Barchfeld,99448,Germany
"Bleibtreustrasse 97","Detmold Heiligenkirchen",32760,Germany
"Kurfuerstendamm 61","Ulm Weststadt",89081,Germany
"Flughafenstrasse 18",Waldsassen,95644,Germany
"Lietzenburger Strasse 77","Remscheid Nord",42857,Germany
"Boxhagener Str. 33","Hamburg Bramfeld",22175,Germany
"Gotthardstrasse 28",Chemnitz,09028,Germany
"Amsinckstrasse 14",Forberge,01616,Germany
"Ollenhauer Str. 89","Stuttgart Bad Cannstatt",70372,Germany
"Heiligengeistbrücke 54","Bad Windsheim",91429,Germany
"Joachimstaler Str. 2",Neuerkirch,55471,Germany
"Joachimstaler Str. 79",Ravengiersburg,55471,Germany
"Ellmenreichstrasse 43",Creußen,95473,Germany
"Esplanade 26",Gerolzhofen,97442,Germany
"Augsburger Strasse 51",Üxheim,54579,Germany
"Budapester Strasse 5",Brokstedt,24614,Germany
"Kieler Strasse 89",Ruhpolding,83324,Germany
"Paderborner Strasse 29",Sielenbach,86577,Germany
"Fischerinsel 35","Mönchengladbach Pesch",41065,Germany
"Fugger Strasse 85",Potsdam,14401,Germany
"Ruschestrasse 37",Hecklingen,39444,Germany
"Feldstrasse 3",Hausneindorf,06458,Germany
"Ellmenreichstrasse 79",Presseck,95355,Germany
"Reeperbahn 62",Velgast,18466,Germany
"Hollander Strasse 24",Mähren,56459,Germany
"Ruschestrasse 21",Klötze,38481,Germany
"Luckenwalder Strasse 86",Spiekeroog,26474,Germany
"Eschenweg 2",Bechstedtstraß,99428,Germany
"Hoheluftchaussee 96","Bad Lausick",04651,Germany
"Guentzelstrasse 91",Lissendorf,54587,Germany
"Büsingstrasse 5",Erding,85422,Germany
"Lange Strasse 91",Unterföhring,85765,Germany
"Alter Wall 52",Thüngersheim,97291,Germany
"Brandenburgische Straße 27","Berlin Mariendorf",12105,Germany
"Alter Wall 12",Röttingen,97285,Germany
"Lützowplatz 23",Serrig,54455,Germany
"Pohlstrasse 26",Clausthal-Zellerfeld,38678,Germany
"Lietzenburger Straße 66",Handrup,49838,Germany
"Alt Reinickendorf 55",Altenmünster,86450,Germany
"Hochstrasse 23",Risum-Lindholm,25920,Germany
"Stuttgarter Platz 75",Harsewinkel,33428,Germany
"Esplanade 31",Prichsenstadt,97357,Germany
"Hochstrasse 30",Nebel,25947,Germany
"Michaelkirchstr. 21",Vlotho,32602,Germany
"Sonnenallee 3",Augsburg,86039,Germany
"Messedamm 51",Halle,06122,Germany
"Augsburger Strasse 77",Katzwinkel,54552,Germany
"Kantstraße 60",Rochlitz,09301,Germany
"Mühlenstrasse 5",Regensburg,93002,Germany
"Hermannstrasse 4",Zuzenhausen,74939,Germany
"Leopoldstraße 73","Berlin Heinersdorf",13089,Germany
"Hallesches Ufer 85",Oberboihingen,72644,Germany
"Meininger Strasse 15","Neunkirchen Heinitz",66540,Germany
"Luebecker Strasse 38",Stettfeld,96188,Germany
"Langenhorner Chaussee 24",Piding,83451,Germany
"Flughafenstrasse 66",Waldsassen,95644,Germany
"Mohrenstrasse 11",Denkingen,78588,Germany
"Knesebeckstraße 82",Haltern,45721,Germany
"Koenigstrasse 57",Tabarz,99889,Germany
"Schaarsteinweg 24",Schwandorf,92403,Germany
"Alsterkrugchaussee 34",Schwabach,91103,Germany
"Neue Roßstr. 39",Trierweiler,54311,Germany
"Hedemannstasse 16",Hohenfels,78355,Germany
"Bayreuther Strasse 14","Offenbach am Main",63067,Germany
"Rosenstrasse 70",München,81664,Germany
"Ansbacher Strasse 9",Kesten,54518,Germany
"Alter Wall 2",Mittelsinn,97785,Germany
"Rudolstaedter Strasse 29",Echzell,61209,Germany
